
> composer-runtime-hlfv1@0.17.6 start /usr/local/src
> node start.js "--peer.address" "peer0.saude.gov.br:7052"

E0328 21:22:45.917922320      17 ssl_transport_security.cc:238] Could not get common name of subject from certificate.
2018-03-28T21:22:46.521Z [60d05cb0] [INFO    ] @JS : ModelManager            :addSystemModels()        [object Object] 
2018-03-28T21:23:51.820Z [837219a7] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID '40ecb41b9c9d9489bf770ea0179ed9d2592222e515b5f6b055c325081c14c6ad' in collection with ID 'Asset:org.hyperledger.composer.system.Identity' does not exist 
2018-03-28T21:23:51.828Z [837219a7] [ERROR   ] @JS : IdentityManager         :validateIdentity()       Error: The current identity, with the name 'admin' and the identifier 'b7a5754eafac0ffcd8fac66600c62e21e424db79a4f9cd460896287d1cca910c', must be activated (ACTIVATION_REQUIRED) 
2018-03-28T21:23:51.829Z [837219a7] [ERROR   ] @JS : Engine                  :invoke()                 Caught error, rethrowing [object Object]
2018-03-28T21:23:51.830Z [837219a7] [ERROR   ] @JS : Composer                :Invoke()                 Error: The current identity, with the name 'admin' and the identifier 'b7a5754eafac0ffcd8fac66600c62e21e424db79a4f9cd460896287d1cca910c', must be activated (ACTIVATION_REQUIRED) 
[31m[2018-03-28T21:23:51.830] [ERROR] lib/handler.js - [39m[mainchannel-837219a7]Calling chaincode Invoke() returned error response [Error: The current identity, with the name 'admin' and the identifier 'b7a5754eafac0ffcd8fac66600c62e21e424db79a4f9cd460896287d1cca910c', must be activated (ACTIVATION_REQUIRED)]. Sending ERROR message back to peer
2018-03-28T21:23:51.896Z [b6fd8090] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID '40ecb41b9c9d9489bf770ea0179ed9d2592222e515b5f6b055c325081c14c6ad' in collection with ID 'Asset:org.hyperledger.composer.system.Identity' does not exist 
2018-03-28T21:23:51.901Z [b6fd8090] [ERROR   ] @JS : IdentityManager         :validateIdentity()       Error: The current identity, with the name 'admin' and the identifier 'b7a5754eafac0ffcd8fac66600c62e21e424db79a4f9cd460896287d1cca910c', must be activated (ACTIVATION_REQUIRED) 
2018-03-28T21:23:51.923Z [b6fd8090] [INFO    ] @JS : IdentityManager         :<ResourceManager>()      Binding in the tx names and impl 
2018-03-28T21:23:51.944Z [b6fd8090] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID '40ecb41b9c9d9489bf770ea0179ed9d2592222e515b5f6b055c325081c14c6ad' in collection with ID 'Asset:org.hyperledger.composer.system.Identity' does not exist 
2018-03-28T21:23:51.986Z [b6fd8090] [INFO    ] @JS : EngineTransactions      :createHistorianRecord()  created historian record 
[31m[2018-03-28T22:56:37.483] [ERROR] lib/handler.js - [39mChat stream with peer - on error: "Error: 14 UNAVAILABLE: EOF\n    at createStatusError (/usr/local/src/node_modules/grpc/src/client.js:64:15)\n    at ClientDuplexStream._emitStatusIfDone (/usr/local/src/node_modules/grpc/src/client.js:270:19)\n    at ClientDuplexStream._receiveStatus (/usr/local/src/node_modules/grpc/src/client.js:248:8)\n    at /usr/local/src/node_modules/grpc/src/client.js:804:12"
